Data_padrao;SÃO PAULO;Valor
2009-01-01;INDUSTRIAL;3662816.0
2009-01-01;OUTROS;1058606.0
2009-01-01;RESIDENCIAL;2738453.0
2009-01-01;TOTAL;9214649.0
2009-02-01;COMERCIAL;1806503.0
2009-02-01;INDUSTRIAL;3928530.0
2009-02-01;OUTROS;1018179.0
2009-02-01;RESIDENCIAL;2618139.0
2009-02-01;TOTAL;9371351.0
2009-03-01;COMERCIAL;1934482.0
2009-03-01;INDUSTRIAL;4087697.0
2009-03-01;OUTROS;1074353.0
2009-03-01;RESIDENCIAL;2695539.0
2009-03-01;TOTAL;9792071.0
2009-04-01;COMERCIAL;1898231.0
2009-04-01;INDUSTRIAL;4168105.0
2009-04-01;OUTROS;1090516.0
2009-04-01;RESIDENCIAL;2743559.0
2009-04-01;TOTAL;9900411.0
2009-05-01;COMERCIAL;1741810.0
2009-05-01;INDUSTRIAL;4108187.0
2009-05-01;OUTROS;1078198.0
2009-05-01;RESIDENCIAL;2698563.0
2009-05-01;TOTAL;9626758.0
2009-06-01;COMERCIAL;1676350.0
2009-06-01;INDUSTRIAL;4137079.0
2009-06-01;OUTROS;1071130.0
2009-06-01;RESIDENCIAL;2657294.0
2009-06-01;TOTAL;9541853.0
2009-07-01;COMERCIAL;1629639.0
2009-07-01;INDUSTRIAL;4252347.0
2009-07-01;OUTROS;1051960.0
2009-07-01;RESIDENCIAL;2753841.0
2009-07-01;TOTAL;9687787.0
2009-08-01;COMERCIAL;1696090.0
2009-08-01;INDUSTRIAL;4386733.0
2009-08-01;OUTROS;1074517.0
2009-08-01;RESIDENCIAL;2801539.0
2009-08-01;TOTAL;9958879.0
2009-09-01;COMERCIAL;1782303.0
2009-09-01;INDUSTRIAL;4463013.0
2009-09-01;OUTROS;1109543.0
2009-09-01;RESIDENCIAL;2788227.0
2009-09-01;TOTAL;10143086.0
2009-10-01;COMERCIAL;1847923.0
2009-10-01;INDUSTRIAL;4574343.0
2009-10-01;OUTROS;1103239.0
2009-10-01;RESIDENCIAL;2796243.0
2009-10-01;TOTAL;10321748.0
2009-11-01;COMERCIAL;1918770.0
2009-11-01;INDUSTRIAL;4565298.0
2009-11-01;OUTROS;1105947.0
2009-11-01;RESIDENCIAL;2718763.0
2009-11-01;TOTAL;10308778.0
2009-12-01;COMERCIAL;2063962.0
2009-12-01;INDUSTRIAL;4276521.0
2009-12-01;OUTROS;1113637.0
2009-12-01;RESIDENCIAL;2860870.0
