Data_padrao;Regiao;Valor
2005-09-01;Sudeste/C.Oeste;2490411.38
2005-09-01;Sul;773584.79
2005-09-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4323957.05
2005-10-01;Nordeste;810847.92
2005-10-01;Norte;154370.2
2005-10-01;Sistemas Isolados;138460.86
2005-10-01;Sudeste/C.Oeste;2423858.4999999995
2005-10-01;Sul;775274.9300000002
2005-10-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4302812.41
2005-11-01;Nordeste;838130.58
2005-11-01;Norte;152562.08000000002
2005-11-01;Sistemas Isolados;134877.63
2005-11-01;Sudeste/C.Oeste;2408567.14
2005-11-01;Sul;794907.9900000001
2005-11-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4329045.42
2005-12-01;Nordeste;802481.4
2005-12-01;Norte;153981.63
2005-12-01;Sistemas Isolados;136875.88
2005-12-01;Sudeste/C.Oeste;2220890.56
2005-12-01;Sul;900864.0899999999
2005-12-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4215093.5600000005
2006-01-01;Nordeste;810557.27
2006-01-01;Norte;144684.74
2006-01-01;Sistemas Isolados;121250.55
2006-01-01;Sudeste/C.Oeste;2154312.4899999998
2006-01-01;Sul;988077.3900000001
2006-01-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4218882.4399999995
2006-02-01;Nordeste;809171.1799999999
2006-02-01;Norte;138291.72999999998
2006-02-01;Sistemas Isolados;121011.83
2006-02-01;Sudeste/C.Oeste;2286479.27
2006-02-01;Sul;1026715.8099999999
2006-02-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4381669.819999999
2006-03-01;Nordeste;764477.63
2006-03-01;Norte;145821.0
2006-03-01;Sistemas Isolados;120736.92000000001
2006-03-01;Sudeste/C.Oeste;2193766.91
2006-03-01;Sul;1007110.47
2006-03-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4231912.93
2006-04-01;Nordeste;724883.41
2006-04-01;Norte;149374.54
2006-04-01;Sistemas Isolados;127229.72
2006-04-01;Sudeste/C.Oeste;2391697.8299999996
2006-04-01;Sul;899440.0299999999
2006-04-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4292625.529999999
2006-05-01;Nordeste;729118.77
2006-05-01;Norte;149481.12999999998
2006-05-01;Sistemas Isolados;125997.23999999998
2006-05-01;Sudeste/C.Oeste;2334438.61
2006-05-01;Sul;827284.4400000001
2006-05-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4166320.19
2006-06-01;Nordeste;741211.62
2006-06-01;Norte;154080.64
2006-06-01;Sistemas Isolados;130284.26999999999
2006-06-01;Sudeste/C.Oeste;2374338.709999999
2006-06-01;Sul;817015.9899999999
2006-06-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4216931.2299999995
2006-07-01;Nordeste;702086.7699999999
2006-07-01;Norte;152974.24
2006-07-01;Sistemas Isolados;135104.14
2006-07-01;Sudeste/C.Oeste;2503347.5100000002
2006-07-01;Sul;800315.5899999999
2006-07-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4293828.25
2006-08-01;Nordeste;773143.6399999999
2006-08-01;Norte;160953.75
2006-08-01;Sistemas Isolados;137798.06
2006-08-01;Sudeste/C.Oeste;2492403.16
2006-08-01;Sul;809699.9400000001
2006-08-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4373998.550000001
2006-09-01;Nordeste;796259.9199999999
2006-09-01;Norte;167011.01
2006-09-01;Sistemas Isolados;147764.94
2006-09-01;Sudeste/C.Oeste;2537689.7399999993
2006-09-01;Sul;802038.02
2006-09-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4450763.629999999
2006-10-01;Nordeste;829883.64
2006-10-01;Norte;166935.31999999998
2006-10-01;Sistemas Isolados;146617.68000000002
2006-10-01;Sudeste/C.Oeste;2481046.52
2006-10-01;Sul;802398.86
2006-10-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4426882.0200000005
2006-11-01;Nordeste;817563.22
2006-11-01;Norte;161671.54
2006-11-01;Sistemas Isolados;140181.72999999998
2006-11-01;Sudeste/C.Oeste;2352938.1399999997
2006-11-01;Sul;861990.6599999999
2006-11-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4334345.29
2006-12-01;Nordeste;827556.66
2006-12-01;Norte;162365.61
2006-12-01;Sistemas Isolados;144287.27
2006-12-01;Sudeste/C.Oeste;2349420.19
2006-12-01;Sul;924560.0800000001
2006-12-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4408189.8100000005
2007-01-01;Nordeste;809248.0
2007-01-01;Norte;164657.0
2007-01-01;Sistemas Isolados;134141.0
2007-01-01;Sudeste/C.Oeste;2319775.0
2007-01-01;Sul;1027829.0
2007-01-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4455650.0
2007-02-01;Nordeste;777235.0
2007-02-01;Norte;161197.0
2007-02-01;Sistemas Isolados;134669.0
2007-02-01;Sudeste/C.Oeste;2226322.0
2007-02-01;Sul;1024728.0
2007-02-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4324151.0
2007-03-01;Nordeste;716781.0
2007-03-01;Norte;159435.0
2007-03-01;Sistemas Isolados;136203.0
2007-03-01;Sudeste/C.Oeste;2362698.0
2007-03-01;Sul;967498.0
2007-03-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4342615.0
2007-04-01;Nordeste;770290.0
2007-04-01;Norte;166913.0
2007-04-01;Sistemas Isolados;141555.0
2007-04-01;Sudeste/C.Oeste;2501221.0
2007-04-01;Sul;923475.0
2007-04-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4503454.0
2007-05-01;Nordeste;776332.0
2007-05-01;Norte;171028.0
2007-05-01;Sistemas Isolados;142978.0
2007-05-01;Sudeste/C.Oeste;2504055.0
2007-05-01;Sul;875162.0
2007-05-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4469555.0
2007-06-01;Nordeste;777355.0
2007-06-01;Norte;176535.0
2007-06-01;Sistemas Isolados;144880.0
2007-06-01;Sudeste/C.Oeste;2473077.0
2007-06-01;Sul;821300.0
2007-06-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4393147.0
2007-07-01;Nordeste;769072.0
2007-07-01;Norte;176250.0
2007-07-01;Sistemas Isolados;142032.0
2007-07-01;Sudeste/C.Oeste;2478742.0
2007-07-01;Sul;806835.0
2007-07-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4372931.0
2007-08-01;Nordeste;788692.0
2007-08-01;Norte;178768.0
2007-08-01;Sistemas Isolados;142156.0
2007-08-01;Sudeste/C.Oeste;2527496.0
2007-08-01;Sul;819277.0
2007-08-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4456389.0
2007-09-01;Nordeste;818338.0
2007-09-01;Norte;179568.0
2007-09-01;Sistemas Isolados;150501.0
2007-09-01;Sudeste/C.Oeste;2649292.0
2007-09-01;Sul;835264.0
2007-09-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4632963.0
2007-10-01;Nordeste;888465.0
2007-10-01;Norte;189793.0
2007-10-01;Sistemas Isolados;150286.0
2007-10-01;Sudeste/C.Oeste;2714894.0
2007-10-01;Sul;846630.0
2007-10-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4790068.0
2007-11-01;Nordeste;920467.0
2007-11-01;Norte;185740.0
2007-11-01;Sistemas Isolados;151950.0
2007-11-01;Sudeste/C.Oeste;2635943.0
2007-11-01;Sul;861325.0
2007-11-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4755425.0
2007-12-01;Nordeste;870800.0
2007-12-01;Norte;180210.0
2007-12-01;Sistemas Isolados;152023.0
2007-12-01;Sudeste/C.Oeste;2486138.0
2007-12-01;Sul;943346.0
2007-12-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4632517.0
2008-01-01;Nordeste;874019.0
2008-01-01;Norte;174665.31
2008-01-01;Sistemas Isolados;138001.0
2008-01-01;Sudeste/C.Oeste;2440398.0
2008-01-01;Sul;1073752.0
2008-01-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4700835.3100000005
2008-02-01;Nordeste;816834.0
2008-02-01;Norte;163130.72999999998
2008-02-01;Sistemas Isolados;134504.0
2008-02-01;Sudeste/C.Oeste;2410995.0
2008-02-01;Sul;1090135.0
2008-02-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4615598.73
2008-03-01;Nordeste;784078.0
2008-03-01;Norte;167171.83000000002
2008-03-01;Sistemas Isolados;140880.0
2008-03-01;Sudeste/C.Oeste;2377174.0
2008-03-01;Sul;1058996.0
2008-03-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4528299.83
2008-04-01;Nordeste;746243.0
2008-04-01;Norte;167072.47999999998
2008-04-01;Sistemas Isolados;142263.0
2008-04-01;Sudeste/C.Oeste;2438536.0
2008-04-01;Sul;972710.0
2008-04-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4466824.48
2008-05-01;Nordeste;771020.0
2008-05-01;Norte;170805.84
2008-05-01;Sistemas Isolados;147433.0
2008-05-01;Sudeste/C.Oeste;2496335.0
2008-05-01;Sul;898549.0
2008-05-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4484142.84
2008-06-01;Nordeste;767247.0
2008-06-01;Norte;178533.17
2008-06-01;Sistemas Isolados;152731.0
2008-06-01;Sudeste/C.Oeste;2554463.0
2008-06-01;Sul;859072.0
2008-06-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4512046.17
2008-07-01;Nordeste;791772.0
2008-07-01;Norte;184295.71000000002
2008-07-01;Sistemas Isolados;147589.0
2008-07-01;Sudeste/C.Oeste;2583428.0
2008-07-01;Sul;844914.0
2008-07-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4551998.71
2008-08-01;Nordeste;817516.0
2008-08-01;Norte;186248.40000000002
2008-08-01;Sistemas Isolados;158465.0
2008-08-01;Sudeste/C.Oeste;2703809.0
2008-08-01;Sul;871006.0
2008-08-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4737044.4
2008-09-01;Nordeste;862358.0
2008-09-01;Norte;197310.61
2008-09-01;Sistemas Isolados;166094.0
2008-09-01;Sudeste/C.Oeste;2785981.0
2008-09-01;Sul;852141.0
2008-09-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4863884.609999999
2008-10-01;Nordeste;930598.0
2008-10-01;Norte;199215.09999999998
2008-10-01;Sistemas Isolados;161378.0
2008-10-01;Sudeste/C.Oeste;2749891.0
2008-10-01;Sul;866012.0
2008-10-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4907094.1
2008-11-01;Nordeste;935536.0
2008-11-01;Norte;190790.72999999998
2008-11-01;Sistemas Isolados;164111.0
2008-11-01;Sudeste/C.Oeste;2728087.0
2008-11-01;Sul;879379.0
2008-11-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4897903.73
2008-12-01;Nordeste;920532.0
